Car_Name,KM driven,Year,Fuel,Transmission,Price,Location
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"82,657",2019,CNG,Manual,3.55,Mumbai
Hyundai Elite i20 SPORTZ 1.2,"82,473",2016,Petrol,Manual,3.24,Mumbai
Hyundai AURA S 1.2 CNG,"6,916",2021,CNG,Manual,5.8,Dombivli East
Hyundai AURA S 1.2 CNG,"9,976",2022,CNG,Manual,6.5,Dombivli East
Hyundai NEW I20 N LINE N6 1.0 TURBO GDI IMT,"28,611",2022,Petrol,Manual,8.7,Dombivli East
Hyundai Xcent E+,"103,048",2017,Petrol,Manual,3.9,Dombivli East
Hyundai Eon MAGNA +,"47,062",2013,Petrol,Manual,2.3,E Mumbai
Hyundai Eon D-LITE+,"38,085",2014,Petrol,Manual,2,Dombivli East
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,"31,681",2021,Petrol,Automatic,8.43,Thane West
Hyundai AURA S 1.2,"28,849",2024,Petrol,Manual,6.35,E Mumbai
Hyundai Creta SX PLUS 1.6 DIESEL SPECIAL EDITION,"76,209",2017,Diesel,Manual,7.41,Seawood
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"14,157",2017,Petrol,Manual,3.81,E Mumbai
Hyundai Creta SX (O) IVT 1.5 PETROL,"61,632",2020,Petrol,Automatic,10.95,Mumbai
Hyundai Elite i20 ASTA 1.2,"67,874",2018,Petrol,Manual,4.8,Mumbai
Hyundai i20 MAGNA 1.2,"147,671",2012,Petrol,Manual,1.93,Dombivli East
Hyundai NEW SANTRO SPORTZ AMT,"62,306",2019,Petrol,Automatic,3.71,E Mumbai
Hyundai Creta SX PLUS AT 1.6 PETROL,"148,517",2017,Petrol,Automatic,6.41,Mumbai
Hyundai Creta E PLUS 1.6 PETROL,"89,207",2018,Petrol,Manual,5.89,Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"85,579",2019,CNG,Manual,3.75,Thane West
Hyundai AURA S 1.2,"50,856",2021,CNG,Manual,5.71,Seawood
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"56,428",2014,Petrol,Manual,2.65,Thane West
