Car Model,Location,Price,Fuel,KM driven,Transmission
2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"Goregaon, Mumbai",₹3.55 lakh,CNG,"82,657 km",Manual
2016 Hyundai Elite i20 SPORTZ 1.2,"Goregaon, Mumbai",₹3.24 lakh,Petrol,"82,473 km",Manual
2021 Hyundai AURA S 1.2 CNG,"Regency Anantam, Dombivli East",₹5.8 lakh,CNG,"6,916 km",Manual
2022 Hyundai AURA S 1.2 CNG,"Regency Anantam, Dombivli East",₹6.5 lakh,CNG,"9,976 km",Manual
2022 Hyundai NEW I20 N LINE N6 1.0 TURBO GDI IMT,"Regency Anantam, Dombivli East",₹8.7 lakh,Petrol,"28,611 km",Manual
2017 Hyundai Xcent E+,"Regency Anantam, Dombivli East",₹3.9 lakh,Petrol,"103,048 km",Manual
2013 Hyundai Eon MAGNA +,Thakur Village Kandivali E Mumbai,₹2.3 lakh,Petrol,"47,062 km",Manual
2014 Hyundai Eon D-LITE+,"Regency Anantam, Dombivli East",₹2 lakh,Petrol,"38,085 km",Manual
2021 Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,"Korum Mall, Thane West",₹8.43 lakh,Petrol,"31,681 km",Automatic
2024 Hyundai AURA S 1.2,Thakur Village Kandivali E Mumbai,₹6.35 lakh,Petrol,"28,849 km",Manual
2017 Hyundai Creta SX PLUS 1.6 DIESEL SPECIAL EDITION,Seawood,₹7.41 lakh,Diesel,"76,209 km",Manual
2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Thakur Village Kandivali E Mumbai,₹3.81 lakh,Petrol,"14,157 km",Manual
2020 Hyundai Creta SX (O) IVT 1.5 PETROL,"Mulund West, Mumbai",₹10.95 lakh,Petrol,"61,632 km",Automatic
2018 Hyundai Elite i20 ASTA 1.2,"Goregaon, Mumbai",₹4.8 lakh,Petrol,"67,874 km",Manual
2012 Hyundai i20 MAGNA 1.2,"Regency Anantam, Dombivli East",₹1.93 lakh,Petrol,"147,671 km",Manual
2019 Hyundai NEW SANTRO SPORTZ AMT,Thakur Village Kandivali E Mumbai,₹3.71 lakh,Petrol,"62,306 km",Automatic
2017 Hyundai Creta SX PLUS AT 1.6 PETROL,"Goregaon, Mumbai",₹6.41 lakh,Petrol,"148,517 km",Automatic
2018 Hyundai Creta E PLUS 1.6 PETROL,"Goregaon, Mumbai",₹5.89 lakh,Petrol,"89,207 km",Manual
2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"Korum Mall, Thane West",₹3.75 lakh,CNG,"85,579 km",Manual
2021 Hyundai AURA S 1.2,Seawood,₹5.71 lakh,CNG,"50,856 km",Manual
2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"Korum Mall, Thane West",₹2.65 lakh,Petrol,"56,428 km",Manual
2020 Hyundai NEW I20 ASTA 1.0 GDI TURBO DCT,"Goregaon, Mumbai",₹7 lakh,Petrol,"71,197 km",Automatic
